,date_forecast,depression,downside,lower,mean,rateshock,sdownside,trend,upper,upside,k
19,2023-07-01,,,-0.06957707365528909,-0.029186780691932923,,,,0.00837245476776105,,la moraleja Property
20,2023-10-01,,,-0.07076562168114542,-0.028044193209478263,,,,0.011541698557175684,,la moraleja Property
0,2018-10-01,,,0.059638496813114505,0.059638496813114505,,,,0.059638496813114505,,la volcana Apartments
1,2019-01-01,,,0.03032766700494438,0.05644760153950368,,,,0.07871920055467796,,la volcana Apartments
2,2019-04-01,,,0.04315958592786129,0.08270537098845554,,,,0.11640825708598301,,la volcana Apartments
3,2019-07-01,,,0.0673735687463457,0.1171728225482278,,,,0.1593433708821279,,la volcana Apartments
4,2019-10-01,,,0.06604316771411178,0.1217827544509813,,,,0.1718434509269322,,la volcana Apartments
5,2020-01-01,,,0.08491516131084942,0.15281871297667404,,,,0.20877971667876993,,la volcana Apartments
6,2020-04-01,,,0.15224679698588495,0.22779569641856523,,,,0.2941959975751187,,la volcana Apartments
7,2020-07-01,,,0.12574615771291375,0.20771507567156466,,,,0.27847170535528853,,la volcana Apartments
8,2020-10-01,,,0.10619237854548813,0.19580343826827762,,,,0.27250521354605484,,la volcana Apartments
9,2021-01-01,,,0.06907682812966942,0.16200083265415688,,,,0.2400076188117688,,la volcana Apartments
10,2021-04-01,,,0.07751103716584806,0.17366275696714895,,,,0.2530219146740358,,la volcana Apartments
11,2021-07-01,,,0.0929646691647017,0.19218695563144195,,,,0.2745563926861785,,la volcana Apartments
12,2021-10-01,,,0.07954304400105139,0.18105522851163935,,,,0.26340557721284785,,la volcana Apartments
13,2022-01-01,,,0.06665608088769326,0.17126944029651137,,,,0.2563469000021117,,la volcana Apartments
14,2022-04-01,,,0.043508837515783494,0.14112069001731364,,,,0.22285872212695534,,la volcana Apartments
15,2022-07-01,,,0.08523945539505862,0.18302627677683247,,,,0.2660648892932602,,la volcana Apartments
16,2022-10-01,,,0.105896172536323,0.20028792328830636,,,,0.28285478956903853,,la volcana Apartments
17,2023-01-01,,,0.09052039455895655,0.1925524758069601,,,,0.2773637568352947,,la volcana Apartments
18,2023-04-01,,,0.0502245033925377,0.1570934570763205,,,,0.24935996506483948,,la volcana Apartments
19,2023-07-01,,,-0.003345836969652849,0.11162974775733736,,,,0.20749615659923193,,la volcana Apartments
20,2023-10-01,,,-0.00762750980476512,0.11378712605241703,,,,0.21424351947824904,,la volcana Apartments
0,2018-10-01,,,0.07449609718746508,0.07449609718746508,,,,0.07449609718746508,,lagasca Property
1,2019-01-01,,,0.06466460975163124,0.07405921269721705,,,,0.08294609839576705,,lagasca Property
2,2019-04-01,,,0.0593689841138314,0.07339094961692116,,,,0.08687432517947502,,lagasca Property
3,2019-07-01,,,0.06464649368311504,0.08107691158563779,,,,0.09766493051287761,,lagasca Property
4,2019-10-01,,,0.06345737545719565,0.0829125617833073,,,,0.10165614595718497,,lagasca Property
5,2020-01-01,,,0.06474961607578189,0.0854369476657888,,,,0.10567274512474434,,lagasca Property
6,2020-04-01,,,0.06073398830172594,0.08358194736441615,,,,0.1056941075572515,,lagasca Property
7,2020-07-01,,,0.044726821678942486,0.06998441455736404,,,,0.09510280378073244,,lagasca Property
8,2020-10-01,,,0.039737762240039665,0.06796455992513661,,,,0.09381933952781907,,lagasca Property
